"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","SQL Queries","1","0","Сортировка книг по году","0"
"0","","0","SQL Queries","1","0","Получение книг по первой букве","0"
"0","","0","SQL Queries","1","0","Получение книг по автору","0"
"0","","0","SQL Queries","1","0","Количество книг у авторов","0"
